Polling firm,Date,"Sample size",Resp.,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Lead,Red,Blue,Lead
Sentio,18–24 Feb 2014,"1,000",75.7,1.0,4.0,2.2,33.7,5.1,4.3,5.1,29.9,12.8,1.8,3.8,43.8,52.1,8.3
Opinion Perduco,11–17 Feb 2014,974,77.0,1.3,3.2,2.9,34.8,4.3,5.1,4.9,27.2,15.0,1.2,7.6,43.6,52.2,8.6
Respons Analyse,10–12 Feb 2014,"1,002",81.0,0.9,4.8,2.5,34.7,4.6,5.1,5.0,27.0,14.3,1.1,7.7,45.0,51.4,6.4
Norstat,4–10 Feb 2014,971,70.1,1.4,3.9,3.8,33.1,4.9,4.3,5.9,28.8,13.0,0.9,4.3,43.3,52.0,8.7
Norfakta,4–5 Feb 2014,"1,000",–,1.2,3.1,3.1,34.3,4.0,4.6,5.2,28.8,14.5,1.2,5.5,42.6,53.1,10.5
Norstat,28 Jan–3 Feb 2014,970,–,1.4,3.9,4.0,32.1,5.9,5.1,5.1,30.3,11.7,0.5,1.8,43.3,52.2,8.9
TNS Gallup,27–31 Jan 2014,"1,373",78.6,1.1,4.2,2.8,34.1,5.2,4.9,5.6,29.2,11.9,0.9,4.9,44.6,51.6,7.0
InFact,27–29 Jan 2014,"2,056",–,1.6,4.0,3.3,32.4,4.6,5.2,5.3,28.3,14.1,1.3,4.1,42.6,52.9,10.3
Sentio,21–27 Jan 2014,"1,000",–,0.9,3.1,3.0,35.3,4.3,3.8,4.7,28.4,15.5,1.0,6.9,43.6,52.4,8.8
Ipsos MMI,21–23 Jan 2014,947,–,1.8,3.5,2.4,34.6,4.9,4.5,5.2,28.0,14.2,0.9,6.6,44.8,51.9,7.1
Opinion Perduco,14–20 Jan 2014,979,77.0,0.9,4.0,3.9,33.8,4.5,5.5,4.8,28.8,13.4,0.4,5.0,43.2,52.5,9.3
Respons Analyse,13–15 Jan 2014,"1,002",–,1.2,3.7,2.7,33.7,4.3,4.6,5.2,31.0,12.6,1.0,2.7,42.9,53.4,10.5
Norstat,7–13 Jan 2014,984,–,1.2,4.2,3.1,32.7,4.3,5.2,6.3,30.5,11.7,1.3,2.2,42.4,53.7,11.3
TNS Gallup,6–10 Jan 2014,956,84.2,1.3,4.8,3.2,32.4,5.1,4.2,5.5,28.6,12.6,2.3,3.8,43.6,50.9,7.3
Norfakta,7–8 Jan 2014,"1,000",83.0,0.4,4.1,3.3,32.9,3.9,4.9,5.5,29.4,14.7,1.0,3.5,41.3,54.5,13.2
Ipsos MMI,17–19 Dec 2013,951,–,1.6,4.6,2.7,32.1,5.0,5.1,4.6,29.9,13.2,1.3,2.2,43.3,52.8,9.5
Norstat,17–19 Dec 2013,979,74.3,1.1,3.4,3.2,34.9,4.3,4.5,5.7,27.0,14.7,1.4,7.9,43.7,51.9,8.2
Sentio,10–16 Dec 2013,"1,000",79.5,1.1,3.9,3.0,34.0,4.9,5.6,4.4,27.2,13.9,1.3,6.8,43.9,51.1,7.2
InFact,10–11 Dec 2013,"2,042",–,1.4,4.0,3.4,35.3,4.8,4.6,5.1,25.8,14.3,1.3,9.5,45.5,49.8,4.3
Respons Analyse,9–11 Dec 2013,"1,000",–,1.5,3.6,2.3,33.2,4.6,5.4,5.2,28.7,14.5,1.0,4.5,42.9,53.8,10.9
Opinion Perduco,3–9 Dec 2013,980,81.0,0.8,3.5,3.1,32.7,4.9,5.4,5.8,27.9,14.8,1.1,4.8,41.9,53.9,12.0
Norfakta,3–4 Dec 2013,"1,000",85.0,1.3,4.0,2.4,32.7,4.5,4.7,5.3,28.7,14.6,1.8,4.0,42.5,53.3,10.8
Norstat,26 Nov–2 Dec 2013,–,–,1.0,3.7,3.3,32.8,4.8,5.2,5.4,28.2,14.1,1.5,4.6,42.3,52.9,10.6
TNS Gallup,25–30 Nov 2013,952,83.8,1.3,4.5,2.6,31.5,5.0,6.9,6.4,27.8,12.9,1.2,3.7,42.3,54.0,11.7
InFact,26–27 Nov 2013,"2,073",–,1.2,4.1,3.1,33.4,4.7,4.7,6.1,26.4,14.9,1.4,7.0,43.4,52.1,8.7
Norstat,19–25 Nov 2013,976,77.2,1.3,3.4,3.2,31.7,5.3,5.7,5.3,28.0,15.2,1.0,3.7,41.7,54.2,12.5
Ipsos MMI,19–21 Nov 2013,937,–,0.9,4.4,3.1,30.8,4.8,6.0,5.2,30.1,13.5,1.0,0.7,40.9,54.8,13.9
Sentio,12–18 Nov 2013,"1,000",80.2,1.3,3.5,3.0,34.5,4.3,4.8,6.2,27.0,14.3,1.1,7.5,43.6,52.3,8.7
Respons Analyse,11–13 Nov 2013,"1,003",–,1.1,3.8,2.8,35.1,5.3,4.5,4.6,26.2,15.1,1.5,8.9,45.3,50.4,5.1
Opinion Perduco,5–11 Nov 2013,979,83.0,1.5,3.2,3.3,31.6,5.6,6.1,6.0,27.9,14.3,0.6,3.7,41.9,54.3,12.4
Norstat,7 Nov 2013,–,–,0.9,4.3,3.8,31.4,5.3,5.0,5.0,27.1,15.3,1.9,4.3,41.9,52.4,10.5
Norfakta,5–6 Nov 2013,"1,000",85.0,1.1,4.5,2.8,30.8,4.8,4.8,5.1,29.5,15.3,1.3,1.3,41.2,54.7,13.5
TNS Gallup,28 Oct–1 Nov 2013,960,86.3,1.4,5.3,3.8,31.0,4.9,5.8,6.2,28.1,12.4,1.2,2.9,42.6,52.5,9.9
Norstat,22–28 Oct 2013,974,78.3,1.1,4.0,3.9,32.9,4.9,5.5,4.9,26.9,15.1,0.7,6.0,42.9,52.4,9.5
Ipsos MMI,22–24 Oct 2013,955,–,1.7,4.2,2.3,32.0,4.4,5.5,5.4,28.6,14.9,0.8,3.4,42.3,54.4,12.1
InFact,21–23 Oct 2013,"2,051",–,1.4,4.5,3.4,33.7,4.6,5.0,5.5,26.2,14.2,1.4,7.5,44.2,50.9,6.7
Sentio,15–22 Oct 2013,"1,000",81.2,0.9,3.6,2.8,29.7,5.0,5.7,5.6,30.6,13.7,2.3,0.9,39.2,55.6,16.4
Respons Analyse,14–16 Oct 2013,"1,000",–,1.0,4.0,2.9,31.7,5.1,5.8,5.8,28.1,14.8,1.0,3.6,41.8,54.5,12.7
Opinion Perduco,8–14 Oct 2013,982,84.0,1.5,4.1,4.1,31.7,4.9,5.7,6.5,27.1,13.8,0.8,4.6,42.2,53.1,10.9
Norstat,1–7 Oct 2013,984,77.4,1.3,4.2,4.3,30.5,4.7,6.4,4.7,25.7,17.0,1.1,4.8,40.7,53.8,13.1
TNS Gallup,30 Sep–4 Oct 2013,969,85.1,1.3,4.4,2.9,33.4,4.1,6.1,5.6,27.3,13.3,1.5,6.1,43.2,52.3,9.1
Norfakta,1–2 Oct 2013,"1,000",–,1.3,3.7,2.7,32.7,4.8,4.9,5.1,28.4,15.0,1.4,4.3,42.5,53.4,10.9
Norstat,24–30 Sep 2013,973,–,1.0,3.5,3.9,32.5,5.2,4.3,6.6,26.5,15.8,0.7,6.0,42.2,53.2,11.0
Ipsos MMI,24–26 Sep 2013,954,–,2.2,3.8,3.6,30.0,5.1,5.6,6.5,27.9,14.5,1.1,2.1,41.1,54.5,13.4
Opinion Perduco,25 Sep 2013,966,85.0,1.1,4.6,4.0,31.6,4.9,5.1,5.0,26.3,16.9,0.5,5.3,42.2,53.3,11.1
Sentio,10–16 Sep 2013,"1,000",82.9,1.2,4.6,2.8,31.5,5.3,5.8,5.4,27.6,14.3,1.6,3.9,42.6,53.1,10.5
